DATE,ANNEE,MOIS,INDICATEUR,VALEUR,INTERPOLE
2011-10-01,2011,10,Séjours hospitalisation complète,6037.4,False
2011-11-01,2011,11,Séjours hospitalisation complète,5924.55,False
2011-12-01,2011,12,Séjours hospitalisation complète,5967.18,False
2012-01-01,2012,1,Séjours hospitalisation complète,5899.07,False
2012-02-01,2012,2,Séjours hospitalisation complète,5223.81,False
2012-03-01,2012,3,Séjours hospitalisation complète,5824.33,False
2012-04-01,2012,4,Séjours hospitalisation complète,5548.31,False
2012-05-01,2012,5,Séjours hospitalisation complète,5778.51,False
2012-06-01,2012,6,Séjours hospitalisation complète,5758.88,False
2012-07-01,2012,7,Séjours hospitalisation complète,5535.09,False
2012-08-01,2012,8,Séjours hospitalisation complète,4900.33,False
2012-09-01,2012,9,Séjours hospitalisation complète,5540.81,False
2012-10-01,2012,10,Séjours hospitalisation complète,6121.15,False
2012-11-01,2012,11,Séjours hospitalisation complète,6006.74,False
2012-12-01,2012,12,Séjours hospitalisation complète,6049.97,False
2013-01-01,2013,1,Séjours hospitalisation complète,6044.27,True
2013-02-01,2013,2,Séjours hospitalisation complète,5352.39,True
2013-03-01,2013,3,Séjours hospitalisation complète,5967.69,True
2013-04-01,2013,4,Séjours hospitalisation complète,5684.88,True
2013-05-01,2013,5,Séjours hospitalisation complète,5920.74,True
2013-06-01,2013,6,Séjours hospitalisation complète,5900.62,True
2013-07-01,2013,7,Séjours hospitalisation complète,5671.32,True
2013-08-01,2013,8,Séjours hospitalisation complète,5020.95,True
2013-09-01,2013,9,Séjours hospitalisation complète,5677.19,True
2013-10-01,2013,10,Séjours hospitalisation complète,6271.82,True
2013-11-01,2013,11,Séjours hospitalisation complète,6154.58,True
2013-12-01,2013,12,Séjours hospitalisation complète,6198.88,True
2014-01-01,2014,1,Séjours hospitalisation complète,6189.46,True
2014-02-01,2014,2,Séjours hospitalisation complète,5480.97,True
2014-03-01,2014,3,Séjours hospitalisation complète,6111.05,True
2014-04-01,2014,4,Séjours hospitalisation complète,5821.44,True
2014-05-01,2014,5,Séjours hospitalisation complète,6062.97,True
2014-06-01,2014,6,Séjours hospitalisation complète,6042.37,True
2014-07-01,2014,7,Séjours hospitalisation complète,5807.56,True
2014-08-01,2014,8,Séjours hospitalisation complète,5141.56,True
2014-09-01,2014,9,Séjours hospitalisation complète,5813.57,True
2014-10-01,2014,10,Séjours hospitalisation complète,6422.48,True
2014-11-01,2014,11,Séjours hospitalisation complète,6302.43,True
2014-12-01,2014,12,Séjours hospitalisation complète,6347.79,True
2015-01-01,2015,1,Séjours hospitalisation complète,6334.66,False
2015-02-01,2015,2,Séjours hospitalisation complète,5609.54,False
2015-03-01,2015,3,Séjours hospitalisation complète,6254.41,False
2015-04-01,2015,4,Séjours hospitalisation complète,5958.01,False
2015-05-01,2015,5,Séjours hospitalisation complète,6205.2,False
2015-06-01,2015,6,Séjours hospitalisation complète,6184.12,False
2015-07-01,2015,7,Séjours hospitalisation complète,5943.8,False
2015-08-01,2015,8,Séjours hospitalisation complète,5262.18,False
2015-09-01,2015,9,Séjours hospitalisation complète,5949.95,False
2015-10-01,2015,10,Séjours hospitalisation complète,6573.15,False
2015-11-01,2015,11,Séjours hospitalisation complète,6450.28,False
2015-12-01,2015,12,Séjours hospitalisation complète,6496.7,False
2016-01-01,2016,1,Séjours hospitalisation complète,6495.32,False
2016-02-01,2016,2,Séjours hospitalisation complète,5751.81,False
2016-03-01,2016,3,Séjours hospitalisation complète,6413.03,False
2016-04-01,2016,4,Séjours hospitalisation complète,6109.11,False
2016-05-01,2016,5,Séjours hospitalisation complète,6362.58,False
2016-06-01,2016,6,Séjours hospitalisation complète,6340.95,False
2016-07-01,2016,7,Séjours hospitalisation complète,6094.54,False
2016-08-01,2016,8,Séjours hospitalisation complète,5395.63,False
2016-09-01,2016,9,Séjours hospitalisation complète,6100.85,False
2016-10-01,2016,10,Séjours hospitalisation complète,6739.85,False
2016-11-01,2016,11,Séjours hospitalisation complète,6613.87,False
2016-12-01,2016,12,Séjours hospitalisation complète,6661.47,False
2011-01-01,2011,1,Urgences (SAU),7180.76,False
2011-02-01,2011,2,Urgences (SAU),6358.79,False
2011-03-01,2011,3,Urgences (SAU),7089.79,False
2011-04-01,2011,4,Urgences (SAU),6753.8,False
2011-05-01,2011,5,Urgences (SAU),7034.01,False
2011-06-01,2011,6,Urgences (SAU),7010.11,False
2011-07-01,2011,7,Urgences (SAU),6737.69,False
2011-08-01,2011,8,Urgences (SAU),5965.03,False
2011-09-01,2011,9,Urgences (SAU),6744.67,False
2011-10-01,2011,10,Urgences (SAU),7451.1,False
2011-11-01,2011,11,Urgences (SAU),7311.82,False
2011-12-01,2011,12,Urgences (SAU),7364.44,False
2012-01-01,2012,1,Urgences (SAU),7439.52,False
2012-02-01,2012,2,Urgences (SAU),6587.93,False
2012-03-01,2012,3,Urgences (SAU),7345.27,False
2012-04-01,2012,4,Urgences (SAU),6997.17,False
2012-05-01,2012,5,Urgences (SAU),7287.48,False
2012-06-01,2012,6,Urgences (SAU),7262.72,False
2012-07-01,2012,7,Urgences (SAU),6980.49,False
2012-08-01,2012,8,Urgences (SAU),6179.98,False
2012-09-01,2012,9,Urgences (SAU),6987.71,False
2012-10-01,2012,10,Urgences (SAU),7719.6,False
2012-11-01,2012,11,Urgences (SAU),7575.3,False
2012-12-01,2012,12,Urgences (SAU),7629.82,False
2013-01-01,2013,1,Urgences (SAU),6663.18,True
2013-02-01,2013,2,Urgences (SAU),5900.46,True
2013-03-01,2013,3,Urgences (SAU),6578.77,True
2013-04-01,2013,4,Urgences (SAU),6266.99,True
2013-05-01,2013,5,Urgences (SAU),6527.01,True
2013-06-01,2013,6,Urgences (SAU),6504.83,True
2013-07-01,2013,7,Urgences (SAU),6252.05,True
2013-08-01,2013,8,Urgences (SAU),5535.08,True
2013-09-01,2013,9,Urgences (SAU),6258.52,True
2013-10-01,2013,10,Urgences (SAU),6914.03,True
2013-11-01,2013,11,Urgences (SAU),6784.79,True
2013-12-01,2013,12,Urgences (SAU),6833.62,True
2014-01-01,2014,1,Urgences (SAU),5886.84,True
2014-02-01,2014,2,Urgences (SAU),5212.98,True
2014-03-01,2014,3,Urgences (SAU),5812.26,True
2014-04-01,2014,4,Urgences (SAU),5536.81,True
2014-05-01,2014,5,Urgences (SAU),5766.54,True
2014-06-01,2014,6,Urgences (SAU),5746.94,True
2014-07-01,2014,7,Urgences (SAU),5523.61,True
2014-08-01,2014,8,Urgences (SAU),4890.17,True
2014-09-01,2014,9,Urgences (SAU),5529.33,True
2014-10-01,2014,10,Urgences (SAU),6108.47,True
2014-11-01,2014,11,Urgences (SAU),5994.28,True
2014-12-01,2014,12,Urgences (SAU),6037.43,True
2015-01-01,2015,1,Urgences (SAU),5110.5,False
2015-02-01,2015,2,Urgences (SAU),4525.51,False
2015-03-01,2015,3,Urgences (SAU),5045.76,False
2015-04-01,2015,4,Urgences (SAU),4806.63,False
2015-05-01,2015,5,Urgences (SAU),5006.06,False
2015-06-01,2015,6,Urgences (SAU),4989.05,False
2015-07-01,2015,7,Urgences (SAU),4795.17,False
2015-08-01,2015,8,Urgences (SAU),4245.27,False
2015-09-01,2015,9,Urgences (SAU),4800.14,False
2015-10-01,2015,10,Urgences (SAU),5302.9,False
2015-11-01,2015,11,Urgences (SAU),5203.78,False
2015-12-01,2015,12,Urgences (SAU),5241.23,False
